NAME	ADDRESS	ZIP	SSN	SEX	MARITALSTATUS	CHILDREN	OCCUPATION	HOMEOWNERSHIP	INCOME	EXPENSES	CHECKING	SAVINGS	MSTRCARD	VISA	AMEX	MERCHANT	PAYMENTHISTORY
Hope Gorman	179 Del Mar Blvd.	99975	470-17-7670	F	M	2	Professional	O	3212	1124	N	Y	1	5	0	9	2
Sarah Coriano	640 Prospect Lane	99904	355-91-5677	F	M	1	Unknown	O	3145	1100	N	Y	1	5	0	9	0
Ernest Farmer	474 Green Street	99900	129-21-0468	M	M	0	Unknown	O	3165	1266	N	Y	1	5	0	9	2
John Coleman	452 Green Street	99924	121-57-2753	M	M	0	Unknown	O	3248	974	N	Y	1	5	0	9	3
Ernest Coriano	791 Del Mar Blvd.	99975	351-23-3253	M	W	0	Unknown	O	3979	1392	N	Y	1	5	0	0	1
Carol Silverman	828 Glen View Drive	99900	286-13-9439	F	M	1	Professional	O	3815	1030	N	Y	1	5	0	9	2
Robert Fraser	1001 Lake Street	99930	442-12-4999	M	M	1	Professional	O	3310	1158	Y	N	3	4	2	3	2
Faith Farmer	818 Forest St.	99900	389-48-5755	F	M	2	Unknown	R	3214	964	N	Y	2	4	2	9	2
Carol Gorman	800 Forest St.	99900	309-28-7471	F	M	0	Unknown	O	3598	1439	N	Y	1	4	0	9	2
Jerry Silverman	387 Lake Street	99918	358-55-3914	M	M	1	Manager	R	3585	1254	N	Y	1	4	0	9	3
Carol Steinman	707 Rose Court	99920	109-81-2090	F	M	1	Professional	O	3529	1058	N	Y	1	4	0	0	3
Gary Waxman	750 Del Mar Blvd.	99900	352-80-6455	M	M	1	Professional	O	3976	1192	N	Y	1	4	0	9	3
Terrence Anthony	549 Maple Lane	99927	212-02-3911	M	M	2	Professional	O	3040	912	N	Y	3	3	3	3	4
Ernest Fraser	1005 River Road	99930	115-22-8729	M	W	1	Manager	R	3190	957	N	Y	1	3	0	9	6
Gary Baker	412 Mayfield Drive	99944	187-61-3625	M	S	2	Professional	O	3591	1077	N	Y	1	3	0	9	5
Anthony Baker	149 Mayfield Drive	99955	202-08-0293	M	M	1	Professional	O	3134	1096	N	Y	1	3	0	9	8
Samuel Gorman	979 High View Road	99907	162-10-4674	M	M	2	Skilled	O	3609	974	N	Y	1	3	0	9	2
Robert Brown	516 Del Mar Blvd.	99900	119-49-6441	M	M	2	Professional	O	3462	865	N	Y	1	3	0	9	3
Robert Farmer	687 Lake Street	99918	437-02-2326	M	M	1	Skilled	O	3476	938	N	N	2	2	2	3	3
Carol Gorman	870 Hill Avenue	99900	238-33-0548	F	M	1	Skilled	R	3408	1192	N	Y	2	2	0	3	2
Hope Goldberg	839 Maple Lane	99945	391-71-7029	F	S	1	Unknown	O	3052	1068	N	N	2	2	0	0	3
Anthony Jones	350 Glen View Drive	99916	447-24-2200	M	M	2	Unknown	O	3608	1262	N	N	2	2	2	3	3
Anthony Baker	548 Forest St.	99900	311-07-4961	M	M	1	Unknown	O	3341	1169	N	N	2	2	2	6	3
Sarah Steinman	218 Prospect Lane	99902	445-56-0980	F	M	2	Skilled	O	3726	1117	N	Y	1	2	0	9	1
Carol Jones	634 Prospect Lane	99904	229-24-5417	F	M	2	Unskilled	O	3384	846	N	Y	1	2	0	9	2
Faith Smith	601 Mayfield Drive	99911	417-29-9221	F	M	2	Professional	R	3441	1032	N	Y	1	2	0	9	2
Ernest Jones	86 Green Street	99924	349-84-1431	M	M	1	Professional	R	3859	1041	N	Y	1	2	0	9	3
Joan Waxman	990 Prospect Lane	99900	147-29-5782	F	M	2	Professional	O	3064	1072	N	Y	1	1	0	9	2
Robert Brewster	807 Cordova Lane	99942	389-77-8180	M	M	0	Unknown	O	2599	1039	Y	N	2	5	1	9	1
Hope Jones	213 Mayfield Drive	99933	195-17-8223	F	M	0	Unknown	O	2166	866	N	N	2	5	1	9	1
Ernest Lewis	639 Hill Avenue	99939	282-05-6195	M	W	1	Manager	O	2092	732	N	Y	1	5	0	6	1
Sarah Silverman	282 Del Mar Blvd.	99900	242-37-5125	F	W	1	Manager	O	2759	965	N	Y	1	5	0	9	5
Mike Steinman	623 Main Street	99915	332-63-9805	M	M	0	Unknown	O	2937	1174	N	Y	1	5	0	9	3
Hope Coleman	954 Broad Street	99900	285-03-0414	F	M	2	Professional	R	2870	1148	N	Y	1	5	0	9	3
Alex Fraser	852 Main Street	99900	390-78-8103	M	M	2	Professional	O	2359	825	N	Y	1	5	0	9	4
Hope Fraser	639 Mayfield Drive	99933	396-61-3506	F	M	0	Unknown	O	2472	988	N	Y	1	5	0	9	2
John Coriano	627 Prospect Lane	99903	142-89-4588	M	M	1	Professional	O	2773	831	Y	N	3	4	1	6	3
